Ticker,Date,Return
AAPL,1984-09-30,-5.43207298450776
AAPL,1984-10-31,-0.6508469955829363
AAPL,1984-11-30,-1.30116155743256
AAPL,1984-12-31,17.862903443327777
AAPL,1985-01-31,-0.279194090239204
AAPL,1985-02-28,-14.918118562852253
AAPL,1985-03-31,-10.388244242689062
AAPL,1985-04-30,-3.9866117652724604
AAPL,1985-05-31,-18.129128692311173
AAPL,1985-06-30,6.1323201878331615
AAPL,1985-07-31,-12.404167659176526
AAPL,1985-08-31,-5.5415672095263995
AAPL,1985-09-30,5.359138898317289
AAPL,1985-10-31,17.76908571409295
AAPL,1985-11-30,8.172413842489611
AAPL,1985-12-31,9.15967265510288
AAPL,1986-01-31,5.139659248172471
AAPL,1986-02-28,8.333429467287157
AAPL,1986-03-31,12.803540471352932
AAPL,1986-04-30,7.1272136842502745
AAPL,1986-05-31,22.24581872014944
AAPL,1986-06-30,-3.059966697182235
AAPL,1986-07-31,-12.751892446572766
AAPL,1986-08-31,18.81177095287849
AAPL,1986-09-30,-9.90175040728009
AAPL,1986-10-31,3.815629790495661
AAPL,1986-11-30,15.256383689070024
AAPL,1986-12-31,1.2146153385140888
AAPL,1987-01-31,37.28394573428786
AAPL,1987-02-28,26.012571006016604
AAPL,1987-03-31,-8.231893513794423
AAPL,1987-04-30,25.72945867211251
AAPL,1987-05-31,-0.4926339652506927
AAPL,1987-06-30,1.7948280305083977
AAPL,1987-07-31,1.1865358376257529
AAPL,1987-08-31,31.91163292076316
AAPL,1987-09-30,3.1578513018551515
AAPL,1987-10-31,-31.96131975605871
AAPL,1987-11-30,-14.832104270279533
AAPL,1987-12-31,25.31419665200614
AAPL,1988-01-31,-2.8856825749167627
AAPL,1988-02-29,2.998748929586696
AAPL,1988-03-31,-7.452871951894349
AAPL,1988-04-30,3.126065590211613
AAPL,1988-05-31,1.8642918169426617
AAPL,1988-06-30,11.354301720688275
AAPL,1988-07-31,-4.477530852901139
AAPL,1988-08-31,-10.344631823016876
AAPL,1988-09-30,8.743355731621707
AAPL,1988-10-31,-10.209827816943836
AAPL,1988-11-30,-2.3179276787225134
AAPL,1988-12-31,6.578076598141372
AAPL,1989-01-31,-6.172072914155112
AAPL,1989-02-28,-4.034074908476494
AAPL,1989-03-31,-1.7467537231310941
AAPL,1989-04-30,9.78521626203691
AAPL,1989-05-31,24.06127727760912
AAPL,1989-06-30,-13.650370362122565
AAPL,1989-07-31,-4.775396251882173
AAPL,1989-08-31,11.883127737104257
AAPL,1989-09-30,0.0
AAPL,1989-10-31,4.4962889481169865
AAPL,1989-11-30,-4.332126850331902
AAPL,1989-12-31,-20.77471943013541
AAPL,1990-01-31,-3.515772323381657
AAPL,1990-02-28,-1.3675286170881402
AAPL,1990-03-31,20.073686005607748
